female,callback,skillspeaking,skillsocialper,east_asian,south_asian,anglo,vancouver,toronto,montreal
1,0,64.70588235294117,65.625,0,1,0,0,0,1
0,0,64.70588235294117,65.625,1,0,0,0,0,1
0,0,64.70588235294117,65.625,0,1,0,0,0,1
1,1,50.98039215686274,53.125,0,0,1,0,0,1
1,1,50.98039215686274,53.125,1,0,0,0,0,1
0,0,50.98039215686274,53.125,1,0,0,0,0,1
0,1,84.31372549019608,57.8125,1,0,0,0,0,1
0,1,84.31372549019608,57.8125,1,0,0,0,0,1
1,1,84.31372549019608,57.8125,0,0,0,0,0,1
1,1,84.31372549019608,57.8125,0,1,0,0,0,1
1,0,64.70588235294117,37.5,1,0,0,0,1,0
1,0,64.70588235294117,37.5,0,1,0,0,1,0
1,0,64.70588235294117,37.5,0,1,0,0,1,0
0,0,64.70588235294117,37.5,0,0,0,0,1,0
0,0,35.29411764705882,51.5625,0,0,1,0,1,0
0,0,35.29411764705882,51.5625,1,0,0,0,1,0
0,0,35.29411764705882,51.5625,0,1,0,0,1,0
0,0,33.33333333333333,50.0,0,0,1,0,1,0
0,0,33.33333333333333,50.0,0,1,0,0,1,0
1,0,33.33333333333333,50.0,1,0,0,0,1,0
1,0,33.33333333333333,50.0,1,0,0,0,1,0
0,0,70.58823529411764,60.9375,0,1,0,0,1,0
1,0,70.58823529411764,60.9375,0,1,0,0,1,0
0,0,70.58823529411764,60.9375,0,0,1,0,1,0
1,0,54.90196078431372,31.25,1,0,0,0,0,1
0,0,54.90196078431372,31.25,0,0,0,0,0,1
0,0,54.90196078431372,31.25,0,1,0,0,0,1
0,0,54.90196078431372,31.25,0,1,0,0,0,1
1,0,54.90196078431372,40.625,0,0,1,0,1,0
1,0,54.90196078431372,40.625,0,1,0,0,1,0
0,0,54.90196078431372,40.625,0,1,0,0,1,0
1,0,54.90196078431372,40.625,1,0,0,0,1,0
1,0,45.09803921568627,50.0,1,0,0,0,1,0
1,0,45.09803921568627,50.0,0,0,0,0,1,0
0,0,45.09803921568627,50.0,1,0,0,0,1,0
1,0,45.09803921568627,50.0,0,0,0,0,1,0
1,0,45.09803921568627,50.0,0,1,0,0,1,0
1,0,45.09803921568627,50.0,1,0,0,0,1,0
1,0,64.70588235294117,65.625,0,0,0,0,1,0
1,0,64.70588235294117,65.625,1,0,0,0,1,0
0,0,64.70588235294117,65.625,1,0,0,0,1,0
1,0,64.70588235294117,65.625,0,1,0,0,1,0
0,0,54.90196078431372,31.25,0,1,0,0,0,1
1,0,54.90196078431372,31.25,1,0,0,0,0,1
0,0,54.90196078431372,31.25,1,0,0,0,0,1
1,1,54.90196078431372,31.25,0,0,1,0,0,1
1,0,54.90196078431372,31.25,0,0,1,0,0,1
1,1,54.90196078431372,31.25,0,1,0,0,0,1
0,0,54.90196078431372,31.25,1,0,0,0,0,1
1,0,54.90196078431372,31.25,1,0,0,0,0,1
1,0,45.09803921568627,50.0,1,0,0,0,0,1
1,0,45.09803921568627,50.0,1,0,0,0,0,1
0,0,45.09803921568627,50.0,0,0,1,0,0,1
1,0,35.29411764705882,51.5625,1,0,0,0,0,1
